WALLS, MAZE, NODES EXPANDED, RUN TIME
2000,10,59,1114160
2000,15,151,2689220
2000,20,314,6385880
2000,25,539,7665600
2000,30,847,7898220
2000,35,1202,8293480
2000,40,1632,8788400
2000,45,2115,9086440
2000,50,2676,9524620
2000,55,3316,9867380
2000,60,4042,10290500
2000,65,4806,10683100
2000,70,5831,11323100
2000,75,6932,12048460
2000,80,8272,12808820
2000,85,9781,13801920
2000,90,11601,14839160
2000,95,13591,16657420
2000,100,15850,18391200
2000,105,18339,20023320
2000,110,21201,21735140
2000,115,24125,23331700
2000,120,27350,25442920
2000,125,30972,28398620
2000,130,35012,30843340
2000,135,38996,33485800
2000,140,43586,36880980
2000,145,48529,39804000
2000,150,54149,43295000
