WALLS, MAZE, NODES EXPANDED, RUN TIME
5000,10,59,987080
5000,15,153,2683620
5000,20,332,5205800
5000,25,576,5558480
5000,30,945,5926180
5000,35,1385,6520660
5000,40,1971,6879880
5000,45,2601,7273740
5000,50,3420,7810480
5000,55,4248,8338300
5000,60,5304,9068800
5000,65,6304,9739460
5000,70,7419,10488760
5000,75,8668,11259260
5000,80,10100,12593060
5000,85,11471,13518160
5000,90,13110,14604300
5000,95,15029,15858740
5000,100,17220,17328400
5000,105,19601,18926460
5000,110,22365,21351120
5000,115,25269,23241700
5000,120,28625,25728720
5000,125,32038,28216660
5000,130,36079,31867120
5000,135,40598,35310600
5000,140,45207,37926020
5000,145,50003,41048160
5000,150,55335,44989740
