WALLS, MAZE,NODES EXPANDED, RUN TIME
2000,10,41,1348600
2000,15,116,2354220
2000,20,238,4041000
2000,25,406,4295280
2000,30,631,4525180
2000,35,879,4695280
2000,40,1151,4862280
2000,45,1480,5056580
2000,50,1886,5251500
2000,55,2380,5499540
2000,60,2913,5788000
2000,65,3598,6136880
2000,70,4416,6605640
2000,75,5434,7173380
2000,80,6719,8055520
2000,85,8075,8819100
2000,90,9787,9860700
2000,95,11691,10891220
2000,100,13843,11949580
2000,105,16427,13403800
2000,110,19102,14822860
2000,115,22206,18003660
2000,120,25747,20089260
2000,125,29325,21908840
2000,130,33510,24367760
2000,135,38163,27577140
2000,140,43443,30668280
2000,145,48906,34428220
2000,150,54572,38816360
