WALLS, MAZE,NODES EXPANDED, RUN TIME
50,10,26,687500
50,15,84,2423680
50,20,195,3989040
50,25,397,4848280
50,30,728,5572500
50,35,1144,5949520
50,40,1675,6285920
50,45,2527,6680680
50,50,3665,7158500
50,55,4984,7732080
50,60,6516,8383440
50,65,8483,9351180
50,70,10505,10149440
50,75,13022,11246940
50,80,16203,12855000
50,85,19689,14381020
50,90,23255,16371240
50,95,27631,18280220
50,100,32458,20297920
50,105,38166,24871500
50,110,44508,28194540
50,115,49793,30706000
50,120,56406,34014940
50,125,64449,38847920
50,130,72540,43001680
50,135,80389,46823960
50,140,90925,53656200
50,145,101989,60003740
50,150,112788,66221240
