MAZE, WALLS,NODES EXPANDED, RUN TIME
50,10,26,554980
50,11,53,1157920
50,12,91,1896480
50,13,129,2356620
50,14,177,2860960
50,15,231,3229860
50,16,300,3724500
50,17,375,4236060
50,18,472,5216880
50,19,573,5779340
50,20,699,5888560
50,21,821,5994720
50,22,953,6080340
50,23,1121,6188180
50,24,1294,6263020
50,25,1491,6339540
50,26,1727,6434240
50,27,1952,6524440
50,28,2203,6622900
50,29,2541,6786740
50,30,2850,6908540
50,31,3164,7033420
50,32,3521,7175200
50,33,3871,7345580
50,34,4374,7587000
50,35,4840,7775120
50,36,5318,7991180
50,37,5797,8179060
50,38,6311,8456220
50,39,6898,8686360
50,40,7397,8897560
50,41,8106,9211560
50,42,8866,9531840
50,43,9532,9816660
50,44,10359,10162380
50,45,11298,10551520
50,46,12189,10940780
50,47,13091,11303800
50,48,14079,11723200
50,49,14960,12079640
50,50,15965,12488360
