MAZE, WALLS, NODES EXPANDED, RUN TIME
10,100,5659,21084360
10,101,11187,23984020
10,102,16469,26782620
10,103,22055,29001400
10,104,27224,31085200
10,105,32921,33401400
10,106,39100,36375760
10,107,45702,39384420
10,108,52152,42169480
10,109,58901,45510900
10,110,65425,48393360
10,111,71618,51190420
10,112,78315,54567000
10,113,85185,57699840
10,114,92004,60751640
10,115,99018,64208720
10,116,105806,67785160
10,117,113168,71328740
10,118,120973,74987320
10,119,127860,78198120
10,120,135987,81818880
10,121,143464,85793840
10,122,151323,89241600
10,123,159134,93003400
10,124,167786,96760860
10,125,174890,100486700
10,126,183758,104889100
10,127,192874,109186740
10,128,200839,113358560
10,129,210273,117706020
10,130,219224,121789040
10,131,228468,126137960
10,132,236522,129980620
10,133,246537,134666380
10,134,255751,139148620
10,135,265444,143506540
10,136,275317,148222800
10,137,284332,152961740
10,138,295149,157966960
10,139,305929,162870840
10,140,316099,167074900
10,141,326459,171287980
10,142,335506,175026280
10,143,347979,180378220
10,144,360805,185974280
10,145,373079,191157580
10,146,384105,195763500
10,147,395771,200591460
10,148,406049,204729240
10,149,417376,209744260
10,150,430154,215224480
