MAZE, WALLS,NODES EXPANDED, RUN TIME
10,100,5185,18044540
10,101,10919,20791800
10,102,16370,23419000
10,103,21997,25787380
10,104,28281,28316360
10,105,34222,31739900
10,106,39540,34018980
10,107,46127,37596260
10,108,52435,40782180
10,109,58357,43528540
10,110,65680,46807460
10,111,72535,50166800
10,112,79334,53285560
10,113,86427,56185700
10,114,93354,59481740
10,115,100719,62635100
10,116,107185,65991940
10,117,113899,69212220
10,118,121405,72857820
10,119,129921,76453520
10,120,137768,80350880
10,121,144772,83709020
10,122,152650,87237660
10,123,159392,90013280
10,124,167367,93913360
10,125,175341,97250760
10,126,184125,101799040
10,127,191960,105463860
10,128,199718,108724800
10,129,208067,112588920
10,130,218014,116921800
10,131,226435,120913140
10,132,234225,124429640
10,133,243859,128903520
10,134,251828,132387340
10,135,260335,136507760
10,136,270321,141130780
10,137,279174,145003800
10,138,288437,149363460
10,139,298396,153612160
10,140,309176,158576720
10,141,318621,162841300
10,142,328759,168025520
10,143,340237,173537540
10,144,352232,179082540
10,145,362770,183952660
10,146,373965,189113720
10,147,384822,194222520
10,148,395897,199143000
10,149,407064,204244340
10,150,419007,210166920
