MAZE, WALLS, NODES EXPANDED, RUN TIME
10,10,38,666300
10,11,89,1843520
10,12,147,2788440
10,13,209,4495520
10,14,295,5666540
10,15,389,6154120
10,16,512,6487300
10,17,643,6696480
10,18,775,6905000
10,19,924,7019960
10,20,1084,7131480
10,21,1262,7294500
10,22,1472,7377440
10,23,1734,7491460
10,24,1995,7594480
10,25,2278,7705520
10,26,2559,7863300
10,27,2893,7993600
10,28,3336,8169500
10,29,3759,8324960
10,30,4251,8531040
10,31,4730,8711660
10,32,5214,8929780
10,33,5724,9135580
10,34,6356,9369320
10,35,6987,9714540
10,36,7623,9974040
10,37,8255,10205940
10,38,8978,10469040
10,39,9703,10748180
10,40,10485,11034120
10,41,11282,11346120
10,42,12091,11655280
10,43,12899,11955700
10,44,13820,12336340
10,45,14865,12730620
10,46,15836,13092420
10,47,16926,13509900
10,48,18088,13982440
10,49,19202,14427100
10,50,20442,14905820
