MAZE, WALLS, NODES EXPANDED, RUN TIME
50,100,3726,13893000
50,101,8229,17650860
50,102,13241,20471660
50,103,17948,22734720
50,104,22482,24770080
50,105,26593,26540600
50,106,31376,30161540
50,107,35996,32179840
50,108,40626,34619760
50,109,45521,37168120
50,110,50601,39488860
50,111,55309,41562920
50,112,60993,44590380
50,113,66452,47013740
50,114,72178,49796080
50,115,77543,52676560
50,116,83134,55174880
50,117,89212,58076260
50,118,96223,61746880
50,119,102459,64569700
50,120,109680,67833180
50,121,116274,71311540
50,122,122047,74047900
50,123,129312,77647700
50,124,135307,80675420
50,125,141186,83444220
50,126,148619,86977320
50,127,156297,90858520
50,128,164274,94562140
50,129,171442,97962320
50,130,178985,101296280
50,131,187568,105710540
50,132,194637,108979340
50,133,202306,113277220
50,134,209623,117015500
50,135,218069,121239980
50,136,227077,125813340
50,137,235541,129863820
50,138,243807,133440760
50,139,253550,138306620
50,140,261886,142234080
50,141,270930,146419640
50,142,280313,150959160
50,143,289159,155305900
50,144,298673,159733800
50,145,308144,164335200
50,146,318939,169895140
50,147,330117,175266160
50,148,339894,179838020
50,149,350096,185228260
50,150,361185,190798880
