MAZE, WALLS,NODES EXPANDED, RUN TIME
10,10,40,827900
11,10,79,1814520
12,10,116,2635000
13,10,151,3159660
14,10,188,3595900
15,10,223,3684600
16,10,252,3947820
17,10,287,4042700
18,10,323,4090260
19,10,359,4169500
20,10,391,4207440
21,10,430,4258580
22,10,465,4284440
23,10,494,4306360
24,10,526,4334960
25,10,555,4358580
26,10,585,4380980
27,10,615,4404400
28,10,645,4428920
29,10,673,4449840
30,10,705,4478300
31,10,733,4499220
32,10,763,4524680
33,10,795,4549540
34,10,821,4570580
35,10,848,4591780
36,10,877,4613660
37,10,903,4632820
38,10,926,4649540
39,10,956,4674540
40,10,981,4691260
41,10,1009,4709300
42,10,1041,4728380
43,10,1068,4752880
44,10,1096,4768880
45,10,1122,4851040
46,10,1150,4861220
47,10,1177,4870840
48,10,1205,4880740
49,10,1232,4890080
50,10,1259,4899440
51,10,1286,4922100
52,10,1311,4931120
53,10,1339,4941000
54,10,1366,4950320
55,10,1396,4960780
56,10,1423,4970220
57,10,1452,4980940
58,10,1480,4990800
59,10,1508,5000700
60,10,1536,5010440
61,10,1563,5020360
62,10,1590,5029720
63,10,1615,5038540
64,10,1643,5048300
65,10,1669,5057340
66,10,1695,5066540
67,10,1721,5075760
68,10,1750,5086200
69,10,1779,5096880
70,10,1805,5106180
71,10,1833,5116340
72,10,1859,5125580
73,10,1887,5135280
74,10,1912,5144300
75,10,1938,5153620
76,10,1965,5163000
77,10,1992,5172200
78,10,2020,5182280
79,10,2047,5192060
80,10,2076,5202780
81,10,2104,5213000
82,10,2133,5223900
83,10,2161,5233300
84,10,2189,5243680
85,10,2218,5253920
86,10,2246,5264460
87,10,2275,5274760
88,10,2302,5284480
89,10,2330,5294600
90,10,2358,5344880
91,10,2387,5357340
92,10,2416,5371220
93,10,2445,5384060
94,10,2474,5395580
95,10,2501,5405080
96,10,2529,5415060
97,10,2559,5425900
98,10,2588,5436660
99,10,2617,5447300
100,10,2647,5457980
101,10,2675,5468600
102,10,2704,5478820
103,10,2733,5489860
104,10,2763,5500900
105,10,2791,5511220
106,10,2819,5521220
107,10,2847,5531280
108,10,2875,5547960
109,10,2905,5559380
110,10,2935,5570020
111,10,2963,5580160
112,10,2994,5591520
113,10,3026,5603640
114,10,3056,5614920
115,10,3087,5626020
116,10,3117,5637160
117,10,3147,5648420
118,10,3178,5660180
119,10,3208,5671380
120,10,3237,5682220
121,10,3268,5693900
122,10,3298,5704740
123,10,3327,5715660
124,10,3358,5727420
125,10,3388,5739620
126,10,3420,5751540
127,10,3451,5763040
128,10,3480,5776920
129,10,3512,5791840
130,10,3544,5807340
131,10,3575,5819980
132,10,3607,5831980
133,10,3637,5843380
134,10,3667,5857340
135,10,3696,5869380
136,10,3729,5885600
137,10,3760,5899180
138,10,3792,5911180
139,10,3823,5922820
140,10,3852,5933680
141,10,3884,5945540
142,10,3915,5957160
143,10,3946,5968940
144,10,3977,5980460
145,10,4009,5992480
146,10,4042,6004780
147,10,4073,6016600
148,10,4104,6028220
149,10,4136,6040460
150,10,4166,6055860
151,10,4198,6069740
152,10,4229,6083440
153,10,4262,6096300
154,10,4294,6108460
155,10,4325,6120480
156,10,4358,6133320
157,10,4389,6144720
158,10,4421,6156720
159,10,4452,6168660
160,10,4485,6181080
161,10,4518,6193500
162,10,4550,6205400
163,10,4582,6217800
164,10,4615,6229780
165,10,4648,6242220
166,10,4680,6254260
167,10,4714,6267320
168,10,4746,6279480
169,10,4778,6291400
170,10,4812,6304060
171,10,4845,6316820
172,10,4877,6328400
173,10,4909,6340500
174,10,4940,6353260
175,10,4972,6365500
176,10,5005,6377800
177,10,5038,6390380
178,10,5072,6403320
179,10,5105,6415640
180,10,5139,6428580
181,10,5174,6441640
182,10,5208,6454280
183,10,5242,6466900
184,10,5276,6480180
185,10,5310,6493280
186,10,5344,6506060
187,10,5376,6517740
188,10,5410,6530660
189,10,5444,6543460
190,10,5479,6556380
191,10,5513,6569260
192,10,5547,6581980
193,10,5581,6594620
194,10,5614,6607240
195,10,5649,6620800
196,10,5683,6634840
197,10,5717,6647340
198,10,5751,6660080
199,10,5786,6673160
200,10,5820,6686080
201,10,5854,6699040
202,10,5889,6714660
203,10,5924,6729660
204,10,5958,6744940
205,10,5993,6758020
206,10,6026,6772120
207,10,6060,6787160
208,10,6094,6800420
209,10,6128,6812760
210,10,6164,6825480
211,10,6200,6838300
212,10,6235,6851180
213,10,6270,6863560
214,10,6305,6875980
215,10,6341,6888800
216,10,6376,6901540
217,10,6413,6915800
218,10,6447,6928480
219,10,6483,6941320
220,10,6517,6953580
221,10,6553,6970720
222,10,6589,6983420
223,10,6624,6996440
224,10,6659,7009820
225,10,6695,7023140
226,10,6731,7036240
227,10,6766,7048880
228,10,6802,7061500
229,10,6838,7078280
230,10,6873,7093440
231,10,6909,7109560
232,10,6945,7122840
233,10,6981,7135860
234,10,7016,7148560
235,10,7052,7161260
236,10,7088,7174000
237,10,7125,7186860
238,10,7161,7199820
239,10,7198,7213040
240,10,7235,7225980
241,10,7271,7238700
242,10,7308,7252160
243,10,7344,7265060
244,10,7381,7278340
245,10,7418,7291380
246,10,7455,7304280
247,10,7490,7317140
248,10,7528,7330980
249,10,7564,7344120
250,10,7601,7357000
251,10,7638,7370940
252,10,7675,7396400
253,10,7712,7412980
254,10,7748,7426520
255,10,7784,7439640
256,10,7822,7452680
257,10,7858,7465440
258,10,7895,7478680
259,10,7932,7507520
260,10,7969,7521240
261,10,8006,7534740
262,10,8042,7548260
263,10,8080,7562320
264,10,8115,7576120
265,10,8152,7589340
266,10,8190,7602580
267,10,8226,7615260
268,10,8262,7628100
269,10,8299,7641220
270,10,8337,7654300
271,10,8373,7668380
272,10,8411,7681380
273,10,8448,7694340
274,10,8485,7707280
275,10,8521,7723600
276,10,8559,7741760
277,10,8597,7760100
278,10,8634,7775880
279,10,8671,7789080
280,10,8709,7802340
281,10,8747,7815600
282,10,8784,7828560
283,10,8822,7842180
284,10,8859,7855360
285,10,8896,7869060
286,10,8934,7882260
287,10,8971,7895480
288,10,9009,7908980
289,10,9047,7922400
290,10,9083,7935280
291,10,9121,7948640
292,10,9159,7961840
293,10,9196,7974940
294,10,9233,7988020
295,10,9271,8001620
296,10,9309,8014780
297,10,9346,8027820
298,10,9383,8040680
299,10,9422,8054420
300,10,9460,8067600
301,10,9499,8081480
302,10,9538,8094760
303,10,9576,8108200
304,10,9614,8121760
305,10,9652,8135100
306,10,9690,8148480
307,10,9728,8162800
308,10,9766,8180520
309,10,9805,8198020
310,10,9844,8212260
311,10,9882,8228260
312,10,9920,8239800
313,10,9959,8250940
314,10,9997,8261880
315,10,10035,8272980
316,10,10074,8283940
317,10,10112,8295560
318,10,10150,8310080
319,10,10189,8323600
320,10,10228,8334740
