MAZE, WALLS, NODES EXPANDED, RUN TIME
10,10,39,653880
10,11,94,1898220
10,12,161,3219620
10,13,231,4659800
10,14,315,5464020
10,15,417,5960300
10,16,520,6333260
10,17,642,6766980
10,18,780,6926800
10,19,923,7028900
10,20,1123,7216800
11,10,1161,7244260
11,11,1207,7345100
11,12,1275,7380200
11,13,1338,7406600
11,14,1419,7440840
11,15,1521,7487800
11,16,1631,7533920
11,17,1749,7581120
11,18,1902,7642480
11,19,2056,7702960
11,20,2224,7770460
12,10,2269,7795400
12,11,2314,7815500
12,12,2373,7839880
12,13,2426,7942380
12,14,2515,7976620
12,15,2599,8007080
12,16,2710,8048240
12,17,2819,8093140
12,18,2955,8142540
12,19,3108,8240500
12,20,3257,8305080
13,10,3294,8319220
13,11,3339,8336120
13,12,3400,8363140
13,13,3460,8385540
13,14,3538,8422760
13,15,3616,8451200
13,16,3729,8520280
13,17,3858,8567140
13,18,3973,8610180
13,19,4140,8672420
13,20,4288,8729340
14,10,4326,8742820
14,11,4367,8757620
14,12,4420,8777300
14,13,4492,8803000
14,14,4567,8830080
14,15,4646,8859140
14,16,4748,8895920
14,17,4858,8935760
14,18,5000,9022580
14,19,5143,9073500
14,20,5330,9144120
15,10,5364,9156500
15,11,5413,9174360
15,12,5464,9194500
15,13,5537,9222040
15,14,5609,9248360
15,15,5699,9280900
15,16,5797,9316780
15,17,5919,9361720
15,18,6059,9412580
15,19,6226,9474120
15,20,6403,9539940
16,10,6440,9553080
16,11,6482,9568560
16,12,6532,9586080
16,13,6600,9611100
16,14,6675,9638040
16,15,6758,9668780
16,16,6846,9706060
16,17,6954,9745740
16,18,7086,9806720
16,19,7229,9865700
16,20,7400,9929180
17,10,7441,9943980
17,11,7488,9975500
17,12,7544,9996120
17,13,7615,10022280
17,14,7688,10049360
17,15,7788,10085840
17,16,7900,10132640
17,17,8020,10190820
17,18,8152,10239100
17,19,8319,10301600
17,20,8475,10358160
18,10,8514,10375480
18,11,8555,10393180
18,12,8610,10416440
18,13,8668,10439700
18,14,8746,10469440
18,15,8832,10512620
18,16,8933,10549660
18,17,9037,10588460
18,18,9176,10640420
18,19,9305,10687380
18,20,9472,10749920
19,10,9508,10763360
19,11,9550,10785460
19,12,9606,10810700
19,13,9664,10833540
19,14,9735,10859120
19,15,9819,10889420
19,16,9906,10925780
19,17,10027,11000420
19,18,10152,11063120
19,19,10290,11115220
19,20,10448,11172340
20,10,10485,11185080
20,11,10518,11196900
20,12,10567,11214140
20,13,10623,11233880
20,14,10704,11262680
20,15,10776,11288200
20,16,10873,11323220
20,17,10973,11359040
20,18,11117,11411980
20,19,11234,11454040
20,20,11382,11520220
