MAZE, WALLS, NODES EXPANDED, RUN TIME
10,10,40,686120
11,10,79,1477660
12,10,119,2237460
13,10,163,3104340
14,10,202,3829980
15,10,237,4721700
16,10,270,5203020
17,10,308,5569260
18,10,349,5678500
19,10,384,5875200
20,10,423,6047780
21,10,457,6107880
22,10,492,6169320
23,10,523,6217060
24,10,558,6287560
25,10,591,6354240
26,10,626,6421180
27,10,664,6451400
28,10,695,6473600
29,10,730,6496060
30,10,763,6520320
31,10,797,6544040
32,10,829,6568580
33,10,857,6587240
34,10,890,6626540
35,10,926,6655120
36,10,959,6674920
37,10,993,6700100
38,10,1026,6720640
39,10,1059,6745680
40,10,1090,6773680
41,10,1121,6798000
42,10,1154,6812540
43,10,1185,6826440
44,10,1218,6840640
45,10,1250,6853460
46,10,1282,6866800
47,10,1315,6880240
48,10,1347,6893900
49,10,1379,6906820
50,10,1411,6919300
51,10,1444,6931960
52,10,1474,6947500
53,10,1506,6960020
54,10,1538,6972480
55,10,1571,6984360
56,10,1604,6996980
57,10,1637,7009120
58,10,1670,7021520
59,10,1702,7033840
60,10,1737,7047080
61,10,1771,7060100
62,10,1803,7074400
63,10,1835,7085780
64,10,1866,7097300
65,10,1900,7111700
66,10,1931,7126800
67,10,1964,7140880
68,10,1996,7156020
69,10,2029,7169720
70,10,2060,7181780
71,10,2093,7194560
72,10,2126,7207540
73,10,2158,7219900
74,10,2192,7233020
75,10,2225,7245120
76,10,2258,7257300
77,10,2292,7270160
78,10,2326,7282560
79,10,2362,7295980
80,10,2397,7309600
81,10,2435,7323660
82,10,2468,7336000
83,10,2500,7347740
84,10,2533,7360040
85,10,2566,7372600
86,10,2597,7384260
87,10,2633,7397580
88,10,2667,7410440
89,10,2699,7424040
90,10,2733,7436700
91,10,2768,7449560
92,10,2803,7463220
93,10,2838,7476460
94,10,2872,7489580
95,10,2906,7502080
96,10,2942,7517440
97,10,2978,7535040
98,10,3014,7551840
99,10,3052,7567460
100,10,3087,7580700
101,10,3124,7595100
102,10,3160,7608880
103,10,3195,7622740
104,10,3231,7640900
105,10,3267,7657100
106,10,3305,7674460
107,10,3340,7689420
108,10,3375,7702680
109,10,3413,7717760
110,10,3451,7732600
111,10,3488,7746620
112,10,3526,7760600
113,10,3564,7774380
114,10,3600,7792740
115,10,3636,7811040
116,10,3673,7826760
117,10,3711,7843180
118,10,3748,7858020
119,10,3785,7877800
120,10,3823,7892480
121,10,3861,7906860
122,10,3898,7920800
123,10,3936,7935380
124,10,3973,7949840
125,10,4012,7965000
126,10,4049,7978800
127,10,4090,7995000
128,10,4128,8009300
129,10,4166,8024360
130,10,4205,8039440
131,10,4243,8054520
132,10,4282,8068880
133,10,4319,8083280
134,10,4358,8100300
135,10,4398,8116360
136,10,4436,8130740
137,10,4474,8145460
138,10,4512,8160400
139,10,4550,8175560
140,10,4589,8190940
141,10,4626,8205140
142,10,4664,8220720
143,10,4704,8236620
144,10,4743,8252240
145,10,4783,8267480
146,10,4823,8282240
147,10,4862,8297120
148,10,4902,8312240
149,10,4943,8328120
150,10,4983,8344040
151,10,5023,8360280
152,10,5062,8375260
153,10,5102,8391020
154,10,5143,8440120
155,10,5183,8459560
156,10,5221,8478520
157,10,5262,8495900
158,10,5302,8511280
159,10,5342,8527100
160,10,5382,8542780
161,10,5421,8558240
162,10,5465,8575000
163,10,5506,8591460
164,10,5546,8606900
165,10,5589,8623480
166,10,5630,8641000
167,10,5670,8663700
168,10,5711,8686140
169,10,5753,8706460
170,10,5796,8724060
171,10,5838,8739900
172,10,5878,8755660
173,10,5920,8772880
174,10,5962,8798120
175,10,6005,8815120
176,10,6049,8832440
177,10,6092,8849180
178,10,6134,8867340
179,10,6175,8883720
180,10,6217,8900820
181,10,6260,8918520
182,10,6302,8937980
183,10,6343,8959040
184,10,6386,8978380
185,10,6427,8996600
186,10,6469,9014440
187,10,6509,9030300
188,10,6552,9048000
189,10,6593,9133840
190,10,6638,9154100
191,10,6679,9171000
192,10,6721,9187760
193,10,6761,9203660
194,10,6803,9220180
195,10,6846,9238020
196,10,6889,9254540
197,10,6931,9271120
198,10,6974,9288400
199,10,7017,9305960
200,10,7060,9323360
201,10,7104,9341660
202,10,7148,9359900
203,10,7191,9377400
204,10,7234,9395580
205,10,7277,9412860
206,10,7324,9433160
207,10,7369,9451340
208,10,7413,9515380
209,10,7457,9532900
210,10,7501,9550920
211,10,7544,9568520
212,10,7586,9585800
213,10,7629,9603140
214,10,7674,9627640
215,10,7719,9650360
216,10,7764,9671100
217,10,7808,9689600
218,10,7852,9707240
219,10,7897,9726040
220,10,7943,9744440
221,10,7988,9762500
222,10,8032,9780340
223,10,8080,9813900
224,10,8126,9832180
225,10,8170,9850100
226,10,8216,9868360
227,10,8261,9887140
228,10,8307,9906800
229,10,8352,9925820
230,10,8397,9944380
231,10,8444,9963060
232,10,8491,9981340
233,10,8538,9999320
234,10,8585,10017540
235,10,8632,10036120
236,10,8679,10056520
237,10,8727,10076880
238,10,8773,10094920
239,10,8822,10113820
240,10,8868,10132400
241,10,8913,10158260
242,10,8958,10181060
243,10,9007,10201860
244,10,9055,10221300
245,10,9100,10239460
246,10,9146,10257320
247,10,9192,10276600
248,10,9239,10294980
249,10,9288,10314240
250,10,9335,10340460
251,10,9382,10364920
252,10,9428,10385480
253,10,9474,10403640
254,10,9522,10422560
255,10,9571,10441620
256,10,9619,10461040
257,10,9667,10480160
258,10,9715,10501140
259,10,9762,10516460
260,10,9811,10532280
261,10,9858,10546920
262,10,9905,10561660
263,10,9953,10581200
264,10,10001,10605360
265,10,10048,10634340
266,10,10095,10662340
267,10,10142,10677300
268,10,10188,10691880
269,10,10237,10724340
270,10,10287,10740120
271,10,10337,10757680
272,10,10386,10772840
273,10,10435,10788800
274,10,10482,10803680
275,10,10530,10818900
276,10,10581,10843960
277,10,10629,10858880
278,10,10676,10894900
279,10,10725,10911440
280,10,10774,10926800
281,10,10820,10941840
282,10,10867,10956600
283,10,10915,10971980
284,10,10963,10986780
285,10,11010,11018500
286,10,11060,11065100
287,10,11110,11106000
288,10,11159,11126780
289,10,11204,11141800
290,10,11252,11157080
291,10,11302,11172340
292,10,11350,11187840
293,10,11397,11205200
294,10,11446,11221660
295,10,11496,11270240
296,10,11545,11339280
297,10,11593,11354680
298,10,11644,11370940
299,10,11693,11386920
300,10,11742,11402460
301,10,11792,11417680
302,10,11842,11432960
303,10,11892,11449020
304,10,11942,11466340
305,10,11991,11482920
306,10,12041,11498840
307,10,12090,11514140
308,10,12139,11529920
309,10,12189,11545200
310,10,12237,11560940
311,10,12288,11576300
312,10,12337,11591660
313,10,12389,11607060
314,10,12439,11628680
315,10,12488,11646600
316,10,12538,11663020
317,10,12588,11677920
318,10,12639,11693360
319,10,12688,11720120
320,10,12739,11735700
321,10,12788,11750660
322,10,12839,11766280
323,10,12889,11781420
324,10,12940,11796240
325,10,12990,11811700
326,10,13039,11826660
