MAZE, WALLS, NODES EXPANDED, RUN TIME
100,50,732,7611900
101,50,1486,8163420
102,50,2273,8528180
103,50,2955,8879660
104,50,3699,9218940
105,50,4345,9561540
106,50,5134,9932400
107,50,5840,10285980
108,50,6625,10722060
109,50,7374,11069220
110,50,8111,11385320
111,50,8972,11753440
112,50,9681,12070780
113,50,10402,12421100
114,50,11202,12785280
115,50,11857,13080420
116,50,12540,13375960
117,50,13321,13762540
118,50,14068,14115880
119,50,14753,14495560
120,50,15460,14800380
